state,district,totalHouseholds,prcntBA,prcntHS,prcntAsian,prcntBlack,prcntHisp,prcntWhiteAll,lastName,firstName,middleName,age,gender,numberTerms,daysServed,fracServed,cd,statenm,dwnom1,dwnom2,black,hispanic,numSpon,numCosp,numPassH,numEnact,passPrcnt,congNum,partyControl
FL,9.0,158179.0,14.23792175,65.99067898,0.144538769,4.360767852,1.642221746,47.28214471,Nelson,Bill, ,38.0,M,2.0,717.0,1.0,9.0, FLORIDA,-0.104000002,0.486999989,0.0,0.0,5.0,51.0,0.0,0.0,0.0,97.0,D
FL,5.0,164365.0,7.958300165,47.73344383,0.093070085,11.24143685,2.136147384,59.00099596,McCollum,Bill, ,36.0,M,1.0,717.0,1.0,5.0, FLORIDA,0.319999993,0.035,0.0,0.0,8.0,156.0,0.0,0.0,0.0,97.0,D
FL,6.0,193099.0,9.996813388,53.03974431,0.134698129,6.355170427,1.283209792,75.74288472,Young,C.,W. Bill,50.0,M,6.0,717.0,1.0,6.0, FLORIDA,0.270999998,0.045000002,0.0,0.0,46.0,117.0,1.0,1.0,2.173913043,97.0,D
FL,15.0,172975.0,14.476415,59.05389476,0.04480408,1.321761361,11.11842556,10.99036699,Fascell,Dante,Bruno,63.0,M,14.0,717.0,1.0,15.0, FLORIDA,-0.419999987,0.270000011,0.0,0.0,18.0,132.0,1.0,1.0,5.555555556,97.0,D
FL,7.0,162148.0,8.900997994,50.30648656,0.045850028,3.006564913,8.041605936,19.32551492,Gibbons,Sam,Melville,60.0,M,10.0,717.0,1.0,7.0, FLORIDA,-0.214000002,0.167999998,0.0,0.0,42.0,142.0,5.0,2.0,4.761904762,97.0,D
GA,2.0,145053.0,6.501425369,33.41805758,0.09401367,33.59758976,0.805733522,57.61471056,Hatcher,Charles,Floyd,41.0,M,1.0,717.0,1.0,2.0, GEORGIA,-0.149000004,0.832000017,0.0,0.0,0.0,82.0,0.0,0.0,,97.0,D
GA,5.0,178400.0,16.48527093,51.21081652,0.102327184,25.79075611,1.452053783,32.41226204,Fowler,Wyche, ,40.0,M,3.0,717.0,1.0,5.0, GEORGIA,-0.211999997,0.128999993,0.0,0.0,10.0,76.0,0.0,0.0,0.0,97.0,D
GA,6.0,142907.0,6.822698073,39.8732334,0.077704531,14.8820189,0.741975823,61.84707546,Gingrich,Newton,Leroy,37.0,M,2.0,717.0,1.0,6.0, GEORGIA,0.268999994,-0.237000003,0.0,0.0,5.0,332.0,0.0,0.0,0.0,97.0,D
GA,3.0,159087.0,8.411080357,41.88708117,0.147205559,25.04262332,1.317420114,53.0183089,Brinkley,Jack,Thomas,50.0,M,8.0,717.0,1.0,3.0, GEORGIA,-0.104999997,0.514999986,0.0,0.0,23.0,87.0,5.0,2.0,8.695652174,97.0,D
GA,4.0,147575.0,17.6638308,60.45921683,0.088246053,8.898833443,1.061270695,52.28398408,Levitas,Elliott,Harris,50.0,M,4.0,717.0,1.0,4.0, GEORGIA,-0.059,0.093000002,0.0,0.0,18.0,57.0,0.0,0.0,0.0,97.0,D
